date,ILI,antigenic_drift,antigenic_shift,body_aches,caught_the_flu,child_fever_flu,chills,cough,diarrhea,early_flu_symptoms,fatigue,fever,flu,flu_in_elderly,flu_incubation_period,flu_medicine,flu_now,flu_season,flu_shot_near_me,flu_shot_schedule,flu_symptoms,flu_symptoms_in_children,flu_vaccine,flu_virus,h1n1,h3n2,headache,influenza,influenza_a,influenza_b,influenza_symptoms,influenza_vaccine,muscle_pain,nasal_congestion,nausea,oseltamivir,peak_flu_season,runny_nose,severe_flu,shortness_of_breath,sneezing,sore_throat,stomach_flu,swine_flu,tamiflu,vomiting,vomiting_flu,when_to_get_flu_shot
1/4/04,2.41833,0,0,0,0,0,0.7,19.310961139215987,11.883668393363685,0,11.883668393363685,46.04921502428428,56.00909283757474,0,0,0.9578947368421052,0,0,0,0,13.369126942534145,0,1.4854585491704606,1,0,0,14.854585491704606,13.369126942534145,0.8703703703703703,0,0.75,0,2.25,0.77,5.727272727272728,0,0,0.935064935,0,1.0810810810810811,2.1818181818181817,4.142857142857143,2.4285714285714284,0,1.4854585491704606,4.583333333333333,0,0
1/11/04,1.80906,0,0,0,0,0,1,17.825502590045527,8.912751295022764,0,10.398209844193223,40.10738082760244,36.52766924189657,0,0,0,0,0,0,0,7.427292745852303,0,1.4854585491704606,1.16,0,0,17.825502590045527,8.912751295022764,0,0,0,0,2.708333333333333,0,5.454545454545454,0,0,0.5714285714285714,0,1.2972972972972974,1.7575757575757576,4.142857142857143,1.8571428571428568,0,1.4854585491704606,5.833333333333333,0,0
1/18/04,1.71202,0,0,0,0,0,1.68,14.854585491704606,10.398209844193223,0,11.883668393363685,50.50559067179567,31.657313342977027,0,0,0,0,0,0,0,5.941834196681842,0,1.4854585491704606,0.96,0,0,14.854585491704606,8.912751295022764,0,0,0,0,2.458333333333333,0,5.181818181818182,0,0,0.7532467532467533,0,1.4864864864864864,2.060606060606061,4,2,0,1.4854585491704606,5.583333333333333,0,0
1/25/04,1.5425,0,0,0,0,0,1.18,14.854585491704606,10.398209844193223,0,10.398209844193223,44.56375647511381,38.962847191356346,0,0,0,0,0,0,0,4.456375647511382,0,1.4854585491704606,1.36,0,0,14.854585491704606,8.912751295022764,0.6851851851851852,0,0.6375,0,2.7916666666666665,0.75,4.636363636363637,0,0,0.6753246753246753,0,1.054054054054054,1.818181818181818,4.285714285714286,2.142857142857143,0,1.4854585491704606,5.416666666666667,0,0
2/1/04,1.43787,0,0,0,0,0,1.06,14.854585491704606,8.912751295022764,0,10.398209844193223,46.04921502428428,36.52766924189657,0,0,0,0,0,0,0,2.970917098340921,0,1.4854585491704606,1.28,0,0,14.854585491704606,10.398209844193223,0.7037037037037037,0,0,0.6896551724137931,2.833333333333333,0,5.909090909090909,0,0,0.7012987012987013,0,0.945945946,2.242424242424242,4.071428571428571,1.5714285714285714,0,1.4854585491704606,5.166666666666667,0,0
2/8/04,1.32427,0,0,0.61,0,0,1.52,16.340044040875068,8.912751295022764,0,13.369126942534145,47.53467357345474,38.962847191356346,0,0,0,0,0,0,0,4.456375647511382,0,1.4854585491704606,1.4,0,0,16.340044040875068,10.398209844193223,0,0,0.6875,0,3.4166666666666665,0.56,5.454545454545454,0,0,1.1168831168831168,0,1.0810810810810811,2.121212121212121,4.142857142857143,1.5,0,0,5,0,0
2/15/04,1.30726,0,0,0,0,0,1.26,14.854585491704606,10.398209844193223,0,13.369126942534145,49.02013212,31.657313342977027,0,0,0,0,0,0,0,2.970917098340921,0,1.4854585491704606,1.16,0,0,14.854585491704606,8.912751295022764,0,0,0,0,3.25,0,5.363636363636363,0,0,0.7662337662337663,0,1.3783783783783785,1.5757575757575757,4.5,3.142857142857143,0,0,5.666666666666667,0,0
2/22/04,1.03698,0,0,0,0,0,0.96,17.825502590045527,10.398209844193223,0,14.854585491704606,44.56375647511381,29.222135393517256,0,0,0.6105263157894737,0,0,0,0,4.456375647511382,0,1.4854585491704606,0.92,0,0,14.854585491704606,8.912751295022764,0,0,0,1,3.083333333333333,0,5.090909090909091,0,0.79,0.6103896103896104,0,1.5675675675675675,2.303030303030303,4.5,2.857142857142857,0,0,5,0,0
2/29/04,1.01032,0,0,0,0,0,0.9,17.825502590045527,11.883668393363685,0,17.825502590045527,46.04921502428428,24.35177949459771,0,0,0,0,0,0,0,2.970917098340921,0,1.4854585491704606,0,0,0,16.340044040875068,7.427292745852303,0,0,0,0,3.5,0,6,0,0,0,0,1.648648648648649,1.878787878787879,4.571428571428571,2.857142857142857,0,0,5.833333333333333,0,0
3/7/04,1.05249,0,0,0,0,0,0,14.854585491704606,11.883668393363685,0,17.825502590045527,47.53467357345474,17.04624565,0,0,0,0,0,0,0,2.970917098340921,0,0,1.52,0,0,13.369126942534145,5.941834196681842,0,0,0,0,2.083333333333333,0,5.454545454545454,0,0,0,0,1.7027027027027026,1.606060606060606,4.857142857142857,0,0,2.970917098340921,4.75,0,0
3/14/04,1.02009,0,0,0,0,0,1.42,16.340044040875068,11.883668393363685,0,16.340044040875068,46.04921502428428,17.04624565,0,0,0,0,0,0,0,2.970917098340921,0.65,0,0.84,0,0,14.854585491704606,5.941834196681842,0.7962962962962963,0,0,0.6551724137931034,3.625,0.95,5.636363636363637,0,0,0,0,0.7837837837837838,1.4242424242424243,4.642857142857143,2.2857142857142856,0,0,5.5,0,0
3/21/04,0.924419,0,0,0,0,0,1.68,17.825502590045527,11.883668393363685,0,19.310961139215987,47.53467357345474,14.611067696758628,0,0,0,0,0,0,0,2.970917098340921,0,0,0,0,0,17.825502590045527,5.941834196681842,0,0,0,0,2.833333333333333,0,5.818181818181818,0,0,0,0,1.7567567567567568,1.939393939,5.285714285714286,1.9285714285714288,0,0,5.333333333333333,0,0
3/28/04,0.790645,0,0,0,0,0,1.36,16.340044040875068,11.883668393363685,0,17.825502590045527,49.02013212,14.611067696758628,0,0,0,0,0,0,0,2.970917098340921,0,0,1.08,0,0,14.854585491704606,5.941834196681842,0,0,0,0,2.875,0.56,6,0,0,0,0,1.3783783783783785,1.606060606060606,4.928571428571429,1.7142857142857142,0,0,5.416666666666667,0,0
4/4/04,0.80261,0,0,0,0,0,0.86,13.369126942534145,11.883668393363685,0,14.854585491704606,44.56375647511381,14.611067696758628,0,0,0,0,0,0,0,1.4854585491704606,0,0,0,0,0,14.854585491704606,5.941834196681842,0,0,0,0,2.7916666666666665,0.48,6.090909090909091,0,0,0.4935064935064935,0,1.3243243243243243,1.393939393939394,4.357142857142857,1.5714285714285714,0,0,5.333333333333333,0,0
4/11/04,0.83613,0,0,0,1.3333333333333333,0,0.94,13.369126942534145,8.912751295022764,0,16.340044040875068,44.56375647511381,12.175889747298855,0,0,0,0,0,0,0,1.4854585491704606,0,0,0,0,0,13.369126942534145,7.427292745852303,0,0,0,0,1.9166666666666667,0,5.090909090909091,0,0,0,0,1.135135135135135,1.3333333333333333,5.785714285714286,1.2857142857142858,0,0,4.5,0,0
