age,gender,year,income
40-44 years,women,2023,378300
45-49 years,women,2014,362100
45-49 years,women,2015,368600
45-49 years,women,2016,375500
45-49 years,women,2017,380500
45-49 years,women,2018,387700
45-49 years,women,2019,395800
45-49 years,women,2020,417600
45-49 years,women,2021,422900
45-49 years,women,2022,397200
45-49 years,women,2023,396800
50-54 years,women,2014,349400
50-54 years,women,2015,357800
50-54 years,women,2016,365800
50-54 years,women,2017,372500
50-54 years,women,2018,378200
50-54 years,women,2019,387400
50-54 years,women,2020,407900
50-54 years,women,2021,415400
50-54 years,women,2022,391300
50-54 years,women,2023,394300
55-59 years,women,2014,326500
55-59 years,women,2015,332400
55-59 years,women,2016,338800
55-59 years,women,2017,342200
55-59 years,women,2018,350200
55-59 years,women,2019,358300
55-59 years,women,2020,378900
55-59 years,women,2021,387000
55-59 years,women,2022,362500
55-59 years,women,2023,364300
60-64 years,women,2014,201700
60-64 years,women,2015,216200
60-64 years,women,2016,231000
60-64 years,women,2017,243900
60-64 years,women,2018,261500
60-64 years,women,2019,281000
60-64 years,women,2020,300100
60-64 years,women,2021,307200
60-64 years,women,2022,291000
60-64 years,women,2023,300200
65-69 years,women,2014,46800
65-69 years,women,2015,50400
65-69 years,women,2016,53200
65-69 years,women,2017,56900
65-69 years,women,2018,57800
65-69 years,women,2019,64700
65-69 years,women,2020,74300
65-69 years,women,2021,88800
65-69 years,women,2022,90700
65-69 years,women,2023,101000
70-74 years,women,2014,13300
70-74 years,women,2015,13900
70-74 years,women,2016,15300
70-74 years,women,2017,15500
70-74 years,women,2018,16100
70-74 years,women,2019,16600
70-74 years,women,2020,17300
70-74 years,women,2021,18400
70-74 years,women,2022,17800
70-74 years,women,2023,18700
75-79 years,women,2014,4200
75-79 years,women,2015,4700
75-79 years,women,2016,6600
75-79 years,women,2017,6900
75-79 years,women,2018,8200
75-79 years,women,2019,9100
75-79 years,women,2020,7600
75-79 years,women,2021,10000
75-79 years,women,2022,7400
75-79 years,women,2023,8300
80 years and over,women,2014,3300
80 years and over,women,2015,2900
80 years and over,women,2016,2900
80 years and over,women,2017,3800
80 years and over,women,2018,3900
80 years and over,women,2019,4300
80 years and over,women,2020,5900
80 years and over,women,2021,4900
80 years and over,women,2022,4300
80 years and over,women,2023,3900
